artist,album,track,listen_date,genre
Death Cab for Cutie,Transatlanticism,Lightness,"09 Oct 2018, 01:09","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Transatlanticism,The New Year,"09 Oct 2018, 01:05","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Pinegrove,Skylight,Light On,"09 Oct 2018, 00:17","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Amulets,"09 Oct 2018, 00:16","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Skylight,"09 Oct 2018, 00:12","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Darkness,"09 Oct 2018, 00:07","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Easy Enough,"09 Oct 2018, 00:01","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Thanksgiving,"09 Oct 2018, 00:00","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Angelina,"08 Oct 2018, 23:58","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Paterson & Leo,"08 Oct 2018, 23:56","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Intrepid,"08 Oct 2018, 23:53","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Portal,"08 Oct 2018, 23:50","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Rings,"08 Oct 2018, 23:46","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Radiohead,OK Computer,Subterranean Homesick Alien,"08 Oct 2018, 23:40","alternative,alternative rock,rock,indie,electronic,seen live,british,britpop,indie rock,experimental"
The Front Bottoms,Talon of the Hawk,Au Revoir (Adios),"08 Oct 2018, 23:38","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
The Dear Hunter,Act V: Hymns With the Devil in Confessional,Gloria,"08 Oct 2018, 23:33","Progressive rock,experimental,indie,rock,alternative,seen live,indie rock,alternative rock,Progressive,Experimental Rock"
Cake,Comfort Eagle,Love You Madly,"08 Oct 2018, 23:29","alternative,rock,indie,alternative rock,indie rock,seen live,Cake,90s,pop,funk"
Jack's Mannequin,Everything In Transit (PA Release),Bruised - 2015 Remastered,"08 Oct 2018, 23:25","piano rock,alternative,emo,indie,seen live,rock,indie rock,alternative rock,pop punk,piano"
Zox,Line In The Sand,Lucky Sometimes,"08 Oct 2018, 23:20","seen live,ska,alternative,reggae,indie,poppy ska-ey reggae-ey music with a violin,rock,indie rock,alternative rock,Awesome"
Kishi Bashi,Sonderlust,"Can’t Let Go, Juno","08 Oct 2018, 23:16","indie,folk,pop,seen live,indie pop,world,chamber pop,experimental,acoustic,american"
Oh Honey,With Love - EP,Get It Right,"08 Oct 2018, 23:13","folk,indie,seen live,singer-songwriter,american,duo,pop,chill,alternative,indie pop"
The Postal Service,Give Up,Natural Anthem,"08 Oct 2018, 22:47","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Brand New Colony,"08 Oct 2018, 22:43","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,This Place Is a Prison,"08 Oct 2018, 22:39","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,We Will Become Silhouettes,"08 Oct 2018, 22:34","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Clark Gable,"08 Oct 2018, 22:29","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Recycled Air,"08 Oct 2018, 22:24","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Nothing Better,"08 Oct 2018, 22:20","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Nothing Better,"08 Oct 2018, 22:16","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Sleeping In,"08 Oct 2018, 22:12","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,Such Great Heights,"08 Oct 2018, 22:08","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up,The District Sleeps Alone Tonight,"08 Oct 2018, 20:37","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
Donnie Trumpet & The Social Experiment,Surf,Sunday Candy,"08 Oct 2018, 19:03","Hip-Hop,soul,funk,hip hop,rnb,jazz rap,jazz,rap,Neo Soul,Neo-Soul"
Khalid,American Teen,Winter,"08 Oct 2018, 18:59","pop,soul,alternative,rnb,seen live,alternative rnb,american,electronic,USA,Khalid"
Marc E. Bassy,Groovy People,Dirty Water,"08 Oct 2018, 18:57","us,sxsw 2016,marc e bassy"
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,"08 Oct 2018, 18:53","Hip-Hop,cloud rap,rap,chicago,emo rap,hip hop,trap,Illinois,alternative rnb,seen live"
Khalid,American Teen,American Teen,"08 Oct 2018, 18:48","pop,soul,alternative,rnb,seen live,alternative rnb,american,electronic,USA,Khalid"
Foster the People,Supermodel,Fire Escape,"08 Oct 2018, 15:45","indie,indie pop,alternative,american,seen live,los angeles,indie rock,pop,electronic,rock"
Hodera,First Things First,Best Intentions,"08 Oct 2018, 15:41","alternative,indie,indie rock,seen live,americana,Alt-country,folk rock,new jersey"
Slothrust,Everyone Else,Sleep Eater,"08 Oct 2018, 15:37","alternative rock,Grunge,post-grunge,female vocalists,indie,alternative,indie rock,rock,USA,blues"
Morning Teleportation,Salivating for Symbiosis,Re-Wiring Easily,"08 Oct 2018, 15:34","seen live,indie rock,Psychedelic Rock,indie,psychedelic pop,portland,electronic,experimental,indie pop,dance"
Blonde Tongues,Blonde Tongues,Hey Good Lookin',"08 Oct 2018, 15:29","shoegaze,dream pop,slowcore,australian,Lo-Fi,indie,post-rock,noise pop,australia,dreampop"
The Gaslight Anthem,Get Hurt,Halloween,"08 Oct 2018, 15:25","seen live,punk rock,punk,rock,folk punk,indie,alternative,alternative rock,indie rock,american"
Martha,Blisters In the Pit of My Heart,Precarious (Supermarket Song),"08 Oct 2018, 15:22","seen live,pop punk,diy pop,power pop,pop,Discount Horse,chillout,electronic,indie,punk"
Ourselves The Elves,Geography Lessons,Uncertainly,"08 Oct 2018, 15:20","folk,indie,female vocalists,indie folk,philippines"
Free Cake For Every Creature,Talking Quietly Of Anything With You,Talking Quietly of Anything With You,"08 Oct 2018, 15:17","folk,Lo-Fi,seen live,indie,acoustic,pop,sad,twee pop,indie pop,twee"
Pale Waves,My Mind Makes Noises,There’s A Honey,"08 Oct 2018, 15:13","seen live,indie pop,indie,synthpop,pop,british,indie rock,alternative,rock,female vocalists"
Little Green Cars,Ephemera,Clair de Lune,"08 Oct 2018, 15:09","indie,irish,seen live,folk,dublin,indie rock,ireland,rock,indie pop,melody"
Clarence Clarity,No Now,Cancer In The Water,"08 Oct 2018, 15:05","experimental,rnb,glitch pop,art pop,electronic,alternative rnb,glitch,glitch hop,electropop,indie"
Manchester Orchestra,I'm Like A Virgin Losing A Child,Colly Strings,"08 Oct 2018, 14:59","indie rock,seen live,indie,alternative,rock,atlanta,alternative rock,american,emo,georgia"
Richy Mitch & The Coal Miners,RMCM,St.Paul,"08 Oct 2018, 14:55","indie,folk,indie rock,acoustic,indie folk,coal and steel and slate"
Snckpck,Songs for Someone You Love,Spooky Ghosts,"08 Oct 2018, 14:52","under 2000 listeners,new age,5432fun,fucking beautiful,POSI VIBES"
Oketo,Oketo,Wooden Eyes,"08 Oct 2018, 14:46","indie,olympia,experimental,indie pop,indie rock,Experimental Rock,freak folk,pacific northwest,Lincoln,oketo"
Julien Baker,Turn Out the Lights,Claws in Your Back,"08 Oct 2018, 14:40","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Even,"08 Oct 2018, 14:31","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Hurt Less,"08 Oct 2018, 14:27","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Everything To Help You Sleep,"08 Oct 2018, 14:22","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Happy To Be Here,"08 Oct 2018, 14:22","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Televangelist,"08 Oct 2018, 14:17","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Everything To Help You Sleep,"08 Oct 2018, 14:17","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Televangelist,"08 Oct 2018, 14:12","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Sour Breath,"08 Oct 2018, 14:09","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Turn Out the Lights,"08 Oct 2018, 14:04","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Shadowboxing,"08 Oct 2018, 14:04","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Turn Out the Lights,"08 Oct 2018, 14:01","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Appointments,"08 Oct 2018, 13:57","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Turn Out the Lights,Over,"08 Oct 2018, 13:55","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Bon Iver,Bon Iver,Holocene,"08 Oct 2018, 02:18","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Bon Iver,Bon Iver,Holocene,"08 Oct 2018, 01:35","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Bon Iver,Bon Iver,Holocene,"08 Oct 2018, 01:13","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Bon Iver,Bon Iver,Holocene,"08 Oct 2018, 01:04","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Bon Iver,Bon Iver,Holocene,"08 Oct 2018, 00:45","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Pinegrove,Skylight,Darkness,"07 Oct 2018, 19:00","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Darkness,"07 Oct 2018, 18:49","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Mom Jeans.,Best Buds,Poor Boxer Shorts,"07 Oct 2018, 17:54","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,*Sobs Quietly*,"07 Oct 2018, 17:52","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Edward 40hands,"07 Oct 2018, 17:48","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Danger Can't,"07 Oct 2018, 17:44","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Movember (feat. Sarah Levy),"07 Oct 2018, 17:44","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Danger Can't,"07 Oct 2018, 17:41","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Death Cup,"07 Oct 2018, 17:36","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Vape Nation,"07 Oct 2018, 17:31","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Scott Pilgrim V. My Gpa,"07 Oct 2018, 17:27","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Girl Scout Cookies,"07 Oct 2018, 17:24","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Remy's Boyz,"07 Oct 2018, 17:21","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Poor Boxer Shorts,"07 Oct 2018, 17:17","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,*Sobs Quietly*,"07 Oct 2018, 17:15","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Edward 40hands,"07 Oct 2018, 17:10","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Movember (feat. Sarah Levy),"07 Oct 2018, 17:07","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Danger Can't,"07 Oct 2018, 17:03","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Mom Jeans.,Best Buds,Death Cup,"07 Oct 2018, 16:59","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
The Obsessives,"Heck No, Nancy",daisy,"07 Oct 2018, 16:56","punk,emo,indie rock,indie,washington,post-punk,DC,Twinkle Emo"
The Obsessives,The Obsessives,Surfer Rosa,"07 Oct 2018, 16:52","punk,emo,indie rock,indie,washington,post-punk,DC,Twinkle Emo"
Pinegrove,Skylight,Light On,"07 Oct 2018, 16:46","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Amulets,"07 Oct 2018, 16:45","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Skylight,"07 Oct 2018, 16:41","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Darkness,"07 Oct 2018, 16:36","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Easy Enough,"07 Oct 2018, 16:34","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Thanksgiving,"07 Oct 2018, 16:33","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Angelina,"07 Oct 2018, 16:32","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Paterson & Leo,"07 Oct 2018, 16:30","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Intrepid,"07 Oct 2018, 16:26","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Portal,"07 Oct 2018, 16:24","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Rings,"07 Oct 2018, 15:33","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Darkness,"06 Oct 2018, 23:09","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Skylight,"06 Oct 2018, 23:05","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Darkness,"06 Oct 2018, 23:00","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Easy Enough,"06 Oct 2018, 22:58","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Thanksgiving,"06 Oct 2018, 22:57","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Angelina,"06 Oct 2018, 22:55","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Paterson & Leo,"06 Oct 2018, 22:53","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Intrepid,"06 Oct 2018, 22:49","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Portal,"06 Oct 2018, 22:47","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Pinegrove,Skylight,Rings,"06 Oct 2018, 22:43","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Cat Power,Wanderer,In Your Face,"06 Oct 2018, 22:09","indie,female vocalists,singer-songwriter,folk,alternative,seen live,indie rock,indie pop,rock,indie folk"
Swearin',Fall Into the Sun,Grow Into a Ghost,"06 Oct 2018, 22:05","punk,seen live,indie rock,jortscore,pop punk,indie,punk rock,female vocalists,USA,rock"
John Mayer,Room for Squares,Why Georgia,"06 Oct 2018, 19:34","singer-songwriter,acoustic,rock,pop,Acoustic Rock,seen live,blues,alternative,john mayer,male vocalists"
John Mayer,Room for Squares,No Such Thing,"06 Oct 2018, 19:30","singer-songwriter,acoustic,rock,pop,Acoustic Rock,seen live,blues,alternative,john mayer,male vocalists"
Elliott Smith,New Moon,Angel in the Snow,"06 Oct 2018, 19:27","singer-songwriter,indie,folk,acoustic,indie rock,alternative,indie pop,rock,Lo-Fi,indie folk"
HAIM,Days Are Gone,The Wire,"06 Oct 2018, 18:39","indie,indie pop,seen live,female vocalists,indie rock,soul,pop,american,rock,soft rock"
Modest Mouse,We Were Dead Before The Ship Even Sank,Dashboard,"06 Oct 2018, 18:34","indie,indie rock,alternative,rock,seen live,alternative rock,indie pop,Modest Mouse,emo,american"
Tigerman Woah!,"Boston Sessions, Vol. 1: Beast",Alone Time,"06 Oct 2018, 18:29","Alt-country,bluegrass,folk punk"
The Weeks,Gutter Gaunt Gangster,The House We Grew Up In,"06 Oct 2018, 18:24","indie rock,indie,rock,Garage Rock,alternative,seen live,alternative rock,american,garage,Southern Rock"
Florence + the Machine,Lungs (Deluxe Edition),Kiss with a Fist,"06 Oct 2018, 18:22","indie,female vocalists,alternative,british,indie pop,seen live,pop,indie rock,singer-songwriter,folk"
Reptar,Oblangle Fizz Y'all,Stuck In My Id,"06 Oct 2018, 18:19","electronic,indie,indie pop,seen live,athens,indie rock,american,electronica,electropop,dance"
Lady Lamb,After,Milk Duds,"06 Oct 2018, 18:16","folk,seen live,female vocalists,USA,singer-songwriter,favorites,acoustic,indie folk,female vocalist,singer-songwriters"
The Maine,American Candy,Another Night on Mars,"06 Oct 2018, 18:12","pop punk,powerpop,indie,rock,emo,seen live,pop rock,alternative,the maine,indie rock"
Michael Jackson,Thriller,P.Y.T. (Pretty Young Thing),"06 Oct 2018, 18:08","pop,80s,dance,soul,funk,king of pop,michael jackson,rock,Disco,legend"
Brent Walsh,7,Ride The Air,"06 Oct 2018, 18:06","pop,rock,pop rock,acoustic,singer songwriter,post hardcore,under 500 listeners"
Boys Night Out,Black Dogs,Lust Phenomenon,"06 Oct 2018, 18:01","seen live,emo,screamo,rock,hardcore,alternative,post-hardcore,indie,punk,pop punk"
PUP,The Dream Is Over,DVP,"06 Oct 2018, 17:59","punk rock,seen live,punk,orgcore,indie rock,Canadian,pop punk,post-hardcore,rock,alternative"
The Strokes,Comedown Machine,Happy Ending,"06 Oct 2018, 17:56","indie rock,rock,indie,alternative,alternative rock,seen live,Garage Rock,The Strokes,american,new york"
The Hotelier,Goodness,Two Deliverances,"06 Oct 2018, 17:50","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,emo revival,american"
The Hotelier,Goodness,Two Deliverances,"06 Oct 2018, 16:38","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,emo revival,american"
Green Day,Dookie,She,"06 Oct 2018, 13:59","punk rock,rock,punk,alternative,pop punk,seen live,alternative rock,green day,american,pop"
Built to Spill,There's Nothing Wrong With Love,Car,"06 Oct 2018, 13:56","indie rock,indie,seen live,alternative,rock,indie pop,alternative rock,Lo-Fi,american,90s"
Mixtapes,Ordinary Silence,Bad Parts,"06 Oct 2018, 13:53","pop punk,indie,punk rock,seen live,indie rock,power pop,powerpop,punk,Ohio,american"
Wilco,Being There,Monday,"06 Oct 2018, 13:40","Alt-country,indie,seen live,indie rock,alternative,rock,folk,americana,alternative rock,wilco"
Alvvays,Alvvays,"Archie, Marry Me","06 Oct 2018, 04:06","dream pop,indie pop,seen live,Lo-Fi,indie,Canadian,pop,female vocalists,indie rock,canada"
Shortly,Spare Time,Spare Time,"06 Oct 2018, 03:59",
Pinegrove,Pinegrove on Audiotree Live,Cadmium - Audiotree Live Version,"06 Oct 2018, 03:45","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Bon Iver,Calgary,I Can’t Make You Love Me/Nick of Time,"05 Oct 2018, 23:55","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Bon Iver,Calgary,I Can’t Make You Love Me/Nick of Time,"05 Oct 2018, 22:59","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Childish Gambino,Because the Internet,III. Urn,"05 Oct 2018, 20:23","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,II. Zealots Of Stockholm [Free Information],"05 Oct 2018, 20:17","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,I. Flight Of The Navigator,"05 Oct 2018, 20:11","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,Death By Numbers,"05 Oct 2018, 20:10","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,II. No Exit,"05 Oct 2018, 20:07","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,I. The Party,"05 Oct 2018, 20:06","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,Playing Around Before the Party Starts,"05 Oct 2018, 20:05","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,3005,"05 Oct 2018, 20:01","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,IV. Sweatpants,"05 Oct 2018, 19:53","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,"III. Telegraph Ave. (""Oakland"" by Lloyd)","05 Oct 2018, 19:49","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,II. Shadows,"05 Oct 2018, 19:46","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,I. The Worst Guys,"05 Oct 2018, 19:36","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,Dial up,"05 Oct 2018, 19:35","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,II. Worldstar,"05 Oct 2018, 19:31","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,Because the Internet,I.Crawl,"05 Oct 2018, 19:27","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Stand Tall,"05 Oct 2018, 19:21","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",The Night Me And Your Mama Met,"05 Oct 2018, 19:21","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",The Night Me And Your Mama Met,"05 Oct 2018, 19:17","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Baby Boy,"05 Oct 2018, 19:11","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Terrified,"05 Oct 2018, 18:45","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",California,"05 Oct 2018, 18:42","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Riot,"05 Oct 2018, 18:38","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Zombies,"05 Oct 2018, 18:34","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
Childish Gambino,"""Awaken, My Love!""",Boogieman,"05 Oct 2018, 18:30","Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,funk,rnb,alternative hip-hop"
