artist,album,track,listen_date,genre
Foxing,Two,Redwoods Two,"28 Apr 2019, 15:23","emo,post-rock,math rock,indie,midwest emo,seen live,indie rock,rock,post-hardcore,alternative rock"
Foxing,Nearer My God,Grand Paradise,"28 Apr 2019, 15:19","emo,post-rock,math rock,indie,midwest emo,seen live,indie rock,rock,post-hardcore,alternative rock"
Foxing,The Albatross,Rory,"28 Apr 2019, 15:14","emo,post-rock,math rock,indie,midwest emo,seen live,indie rock,rock,post-hardcore,alternative rock"
Foxing,Nearer My God,Nearer My God,"28 Apr 2019, 15:10","emo,post-rock,math rock,indie,midwest emo,seen live,indie rock,rock,post-hardcore,alternative rock"
Foxing,The Albatross,The Medic,"28 Apr 2019, 15:07","emo,post-rock,math rock,indie,midwest emo,seen live,indie rock,rock,post-hardcore,alternative rock"
Tiny Moving Parts,Celebrate,Birdhouse,"28 Apr 2019, 15:03","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,Swell,Feel Alive,"28 Apr 2019, 15:02","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,This Couch is Long & Full of Friendship,Dakota,"28 Apr 2019, 14:58","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,For the Sake of Brevity / Fish Bowl,For The Sake Of Brevity,"28 Apr 2019, 14:55","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,Pleasant Living,Sundress,"28 Apr 2019, 14:53","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,For the Sake of Brevity / Fish Bowl,Fish Bowl,"28 Apr 2019, 14:38","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,Swell,Caution,"28 Apr 2019, 14:34","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,Pleasant Living,Always Focused,"28 Apr 2019, 14:34","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Sen Morimoto,Sen Morimoto on Audiotree Live,Cannonball - Audiotree Live Version,"28 Apr 2019, 14:32","rap,art pop,jazz rap"
Sen Morimoto,Cannonball!,How It Feels,"28 Apr 2019, 14:29","rap,art pop,jazz rap"
Sen Morimoto,Cannonball!,People Watching,"28 Apr 2019, 14:26","rap,art pop,jazz rap"
Tiny Moving Parts,Pleasant Living,Always Focused,"28 Apr 2019, 03:58","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Tiny Moving Parts,Pleasant Living,Always Focused,"28 Apr 2019, 03:47","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Nnamdi Ogbonnaya,DROOL,Cindy OsO (feat. mOrimOtO),"28 Apr 2019, 03:27","based,math rock,experimental,rnb,soulful,Rare,swag,Hip-Hop,jazz,dark"
Texas Is the Reason,Do You Know Who You Are?: The Complete Collection,Back and to the Left,"28 Apr 2019, 03:23","emo,post-hardcore,indie,indie rock,alternative,midwest emo,seen live,rock,90s,real emo"
Knapsack,This Conversation Is Ending Starting Right Now,Katherine The Grateful,"28 Apr 2019, 00:33","emo,indie,indie rock,punk,rock,midwest emo,punk rock,California,post-emo,alternative rock"
Joan of Arc,A Portable Model Of,The Hands,"28 Apr 2019, 00:30","indie,indie rock,experimental,post-rock,kinsella,emo,seen live,math rock,chicago,rock"
Mineral,The Power of Failing,Gloria,"28 Apr 2019, 00:27","emo,indie,midwest emo,indie rock,post-emo,rock,alternative,real emo,emocore,post-hardcore"
The Promise Ring,Nothing Feels Good,Red & Blue Jeans,"28 Apr 2019, 00:23","emo,indie,indie rock,seen live,alternative,rock,midwest emo,indie pop,pop punk,indie emo"
Boys Life,Boys Life,Golf Hill Drive,"28 Apr 2019, 00:19","emo,midwest emo,indie,indie rock,post-emo,post-hardcore,90s emo,seen live,indiemo,indie emo"
The Jazz June,The Medicine,Viva la Speed Metal,"28 Apr 2019, 00:16","emo,indie,indie rock,post-hardcore,midwest emo,indie emo,seen live,hardcore,punk,math rock"
Cross My Heart,Temporary Contemporary,With Bells On,"28 Apr 2019, 00:13","emo,midwest emo,indie,indie rock,indie emo,deep elm,american,90s emo,post-emo,indiemo"
Jets to Brazil,Orange Rhyming Dictionary,Chinatown,"28 Apr 2019, 00:09","indie,emo,indie rock,rock,alternative,seen live,punk,post-punk,alternative rock,indie pop"
The Appleseed Cast,Two Conversations,Fight Song,"28 Apr 2019, 00:03","post-rock,indie,indie rock,emo,seen live,alternative,rock,post rock,experimental,alternative rock"
Braid,Frame and Canvas,A Dozen Roses,"27 Apr 2019, 23:59","emo,indie,post-hardcore,indie rock,seen live,rock,midwest emo,math rock,alternative,indie emo"
Cap'n Jazz,Analphabetapolothology,Oh Messy Life,"27 Apr 2019, 23:54","emo,post-hardcore,indie,indie rock,post-punk,midwest emo,punk,kinsella,rock,alternative"
American Football,American Football,Never Meant,"27 Apr 2019, 23:52","emo,indie,math rock,indie rock,midwest emo,indie pop,kinsella,rock,alternative,american"
The Get Up Kids,Four Minute Mile,"Michelle With One ""L""","27 Apr 2019, 23:48","emo,indie,seen live,indie rock,rock,alternative,pop punk,punk,alternative rock,punk rock"
Christie Front Drive,Stereo,Radio,"27 Apr 2019, 23:42","emo,midwest emo,indie,indie rock,indie emo,post-hardcore,90s emo,american,post-emo,indiemo"
Penfold,Amateurs & Professionals,I'll Take You Everywhere,"27 Apr 2019, 23:38","emo,midwest emo,indie,indie emo,real emo,indie rock,post-hardcore,alternative rock,indiemo,post-emo indie rock"
Sunny Day Real Estate,Diary (2009 Edition),In Circles - Remastered,"27 Apr 2019, 23:27","emo,indie,indie rock,alternative,rock,alternative rock,post-hardcore,seen live,midwest emo,post-emo"
"Now, Now",Saved,Sgl,"27 Apr 2019, 22:19","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
The Killers,Hot Fuss,All These Things That I've Done,"27 Apr 2019, 21:14","indie,rock,indie rock,alternative,alternative rock,seen live,The Killers,pop,american,britpop"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"27 Apr 2019, 21:10","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),With A Little Help From My Friends - Remastered 2009,"27 Apr 2019, 21:07","classic rock,rock,british,60s,pop,psychedelic,The Beatles,oldies,Psychedelic Rock,beatles"
Death Cab for Cutie,Plans,Soul Meets Body,"27 Apr 2019, 21:03","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Pinegrove,Cardinal (Expanded Edition),New Friends,"27 Apr 2019, 21:00","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Hozier,Hozier (Expanded Edition),Cherry Wine - Live,"27 Apr 2019, 20:56","blues,indie,soul,singer-songwriter,irish,seen live,indie rock,rock,alternative,folk"
Sasami,SASAMI,Free,"27 Apr 2019, 20:56","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Morning Comes,"27 Apr 2019, 19:35","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Not The Time,"27 Apr 2019, 19:32","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,I Was A Window,"27 Apr 2019, 19:18","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Turned Out I Was Everyone,"27 Apr 2019, 19:14","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Pacify My Heart,"27 Apr 2019, 19:09","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Not The Time,"27 Apr 2019, 19:06","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Free,"27 Apr 2019, 19:02","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,I Was A Window,"27 Apr 2019, 18:58","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
Sasami,SASAMI,Morning Comes,"27 Apr 2019, 18:54","indie rock,shoegaze,seen live,female vocalists,singer-songwriter,USA,alternative,strange,beautiful,Dreamy"
"Now, Now",Saved,MJ,"27 Apr 2019, 18:52","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Sen Morimoto,Cannonball!,People Watching,"27 Apr 2019, 18:32","rap,art pop,jazz rap"
"Now, Now",Neighbors,Rebuild,"27 Apr 2019, 16:03","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Say Anything,Is A Real Boy,Woe,"27 Apr 2019, 16:03","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,A Walk Through Hell,"26 Apr 2019, 19:57","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,I Want to Know Your Plans,"26 Apr 2019, 19:52","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Every Man Has a Molly,"26 Apr 2019, 19:49","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,The Futile,"26 Apr 2019, 19:46","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"26 Apr 2019, 19:42","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Woe,"26 Apr 2019, 19:37","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Belt,"26 Apr 2019, 19:32","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Safa Gaw,Boo Hoo,Boo Hoo,"26 Apr 2019, 19:22",
Safa Gaw,Boo Hoo,Boo Hoo,"26 Apr 2019, 19:16",
Say Anything,Is A Real Boy,Woe,"26 Apr 2019, 17:16","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Radiohead,A Moon Shaped Pool,Desert Island Disk,"26 Apr 2019, 16:19","alternative,alternative rock,rock,indie,electronic,seen live,british,britpop,indie rock,experimental"
Japanese Breakfast,Essentially,Essentially,"26 Apr 2019, 16:19","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Palehound,Bent Nail,Pet Carrot,"26 Apr 2019, 15:01","seen live,female vocalists,USA,indie,alternative rock,folk rock,garage,rock,folk,new york"
Little Dragon,Little Dragon,Twice,"26 Apr 2019, 14:18","trip-hop,electronic,female vocalists,chillout,swedish,seen live,electronica,downtempo,nu jazz,indie"
Weatherbox,Flies in All Directions,The Fresh Prints of Bill Ayers,"26 Apr 2019, 14:15","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
toe,Our Latest Number,Etude of Solitude,"26 Apr 2019, 14:08","post-rock,math rock,instrumental,japanese,post rock,experimental,indie,seen live,rock,japan"
Young Jesus,S/T,Green,"26 Apr 2019, 14:05","indie rock,indie,rock,alternative,seen live,alternative rock,folk,contemporary folk,chicago,All"
Taylor Swift,ME!,ME! (feat. Brendon Urie of Panic! at the Disco),"26 Apr 2019, 14:05","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
Palehound,Bent Nail,Pet Carrot,"26 Apr 2019, 13:57","seen live,female vocalists,USA,indie,alternative rock,folk rock,garage,rock,folk,new york"
St. Vincent,Marry Me,"Now, Now","26 Apr 2019, 13:53","seen live,female vocalists,indie,singer-songwriter,indie pop,alternative,indie rock,american,experimental,art pop"
A Great Big Pile Of Leaves,Have You Seen My Prefrontal Cortex?,Alligator Bop,"26 Apr 2019, 13:49","indie rock,seen live,indie,math rock,experimental,rock,Progressive,emo,alternative,alternative rock"
toe,Our Latest Number,Etude of Solitude,"26 Apr 2019, 13:45","post-rock,math rock,instrumental,japanese,post rock,experimental,indie,seen live,rock,japan"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"26 Apr 2019, 13:42","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Standards,Friends,Pineapple,"26 Apr 2019, 13:42","math rock,indie,rock,instrumental,fruit,metalcore,hardcore,Progressive rock,Dope,Progressive"
Pinegrove,Cardinal,New Friends,"26 Apr 2019, 00:37","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Queen,Jazz (Deluxe Remastered Version),Fat Bottomed Girls - Remastered 2011,"25 Apr 2019, 23:39","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"25 Apr 2019, 21:14","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"25 Apr 2019, 16:30","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Radiohead,Pablo Honey,Creep,"25 Apr 2019, 15:46","alternative,alternative rock,rock,indie,electronic,seen live,british,britpop,indie rock,experimental"
Joan of Arc,A Portable Model Of,Anne Aviary,"25 Apr 2019, 15:31","indie,indie rock,experimental,post-rock,kinsella,emo,seen live,math rock,chicago,rock"
Joan of Arc,A Portable Model Of,The Hands,"25 Apr 2019, 15:28","indie,indie rock,experimental,post-rock,kinsella,emo,seen live,math rock,chicago,rock"
Frightened Rabbit,The Midnight Organ Fight,My Backwards Walk,"25 Apr 2019, 15:23","seen live,Scottish,indie,indie rock,folk,folk rock,rock,indie folk,alternative,british"
Frightened Rabbit,The Midnight Organ Fight,My Backwards Walk,"25 Apr 2019, 15:20","seen live,Scottish,indie,indie rock,folk,folk rock,rock,indie folk,alternative,british"
Brand New,Your Favorite Weapon,Seventy Times 7,"25 Apr 2019, 14:02","emo,rock,alternative,seen live,indie,indie rock,alternative rock,punk,Brand New,pop punk"
Jimmy Eat World,Clarity (Expanded Edition),Lucky Denver Mint,"25 Apr 2019, 13:54","rock,alternative,emo,alternative rock,seen live,indie,indie rock,punk,pop punk,punk rock"
The Promise Ring,Nothing Feels Good,Why Did Ever We Meet,"25 Apr 2019, 13:50","emo,indie,indie rock,seen live,alternative,rock,midwest emo,indie pop,pop punk,indie emo"
American Football,American Football EP,Letters and Packages,"25 Apr 2019, 13:43","emo,indie,math rock,indie rock,midwest emo,indie pop,kinsella,rock,alternative,american"
American Football,American Football,Never Meant,"25 Apr 2019, 13:41","emo,indie,math rock,indie rock,midwest emo,indie pop,kinsella,rock,alternative,american"
The Promise Ring,Nothing Feels Good,Red & Blue Jeans,"25 Apr 2019, 13:41","emo,indie,indie rock,seen live,alternative,rock,midwest emo,indie pop,pop punk,indie emo"
Lucy Dacus,My Mother & I,My Mother & I,"25 Apr 2019, 00:51","indie,seen live,singer-songwriter,folk,indie rock,female vocalists,indie folk,rock,alternative,USA"
Sixpence None the Richer,Sixpence None the Richer,Puedo Escribir,"25 Apr 2019, 00:30","pop,female vocalists,rock,alternative,christian,pop rock,indie,90s,american,alternative rock"
The Cardigans,First Band On The Moon,Lovefool,"25 Apr 2019, 00:26","pop,rock,female vocalists,swedish,alternative,seen live,indie,indie pop,alternative rock,90s"
"Now, Now",Threads,Wolf,"24 Apr 2019, 21:39","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Say Anything,Hebrews,Lost My Touch (feat. Jeremy Bolm and Christie Dupree),"24 Apr 2019, 21:39","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Cap'n Jazz,Analphabetapolothology,Oh Messy Life,"24 Apr 2019, 21:20","emo,post-hardcore,indie,indie rock,post-punk,midwest emo,punk,kinsella,rock,alternative"
Cap'n Jazz,Analphabetapolothology,Oh Messy Life,"24 Apr 2019, 21:19","emo,post-hardcore,indie,indie rock,post-punk,midwest emo,punk,kinsella,rock,alternative"
An Albatross,Blessphemy,"Lysergically Yours, My Psychedelic Bride","24 Apr 2019, 21:07","experimental,grindcore,noisecore,noise,hardcore,seen live,screamo,noise rock,powerviolence,mathcore"
Angel Hair,Pregnant With The Senior Class,This Stool Is Cool,"24 Apr 2019, 20:59","screamo,emo,hardcore,emo violence,real screamo,punk,emocore,hardcore emo,post-hardcore,USA"
Lincoln,Lincoln - Two-Headed Coin / Watermark / Art Monk,"Union [Watermark 7""]","24 Apr 2019, 20:50","emo,hardcore,post-hardcore,screamo,90s emo,indie,rock,morgantown,fourfa,seen live"
Indian Summer,"""Science 1994""",Sleeping,"24 Apr 2019, 20:42","emo,screamo,hardcore,post-hardcore,emocore,real emo,Progressive rock,90s emo,indie,real screamo"
Still Life,From Angry Heads With Skyward Eyes,Truth,"24 Apr 2019, 20:34","emo,screamo,hardcore,Progressive rock,90s emo,post-hardcore,emocore,90s,punk,real emo"
Spitboy,The Spitboy CD,Ultimate Violations,"24 Apr 2019, 20:33","hardcore punk,punk,anarcho punk,riot grrrl,hardcore,derbrock,punk rock,seen live,san francisco,anarcho-punk"
Chalk Circle,Reflection,Reflection,"24 Apr 2019, 20:22","Canadian,80s,punk,new wave,college rock,post-punk,female vocalists,pop rock,punk rock,pop"
Moss Icon,Complete Discography,"I'm Back Sleeping, Or Fucking, Or Something","24 Apr 2019, 20:09","emo,post-hardcore,hardcore,emocore,punk,real emo,screamo,Emotional Hardcore,hardcore punk,80s"
Lifetime,Jersey's Best Dancers,"Young, Loud, And Scotty","24 Apr 2019, 20:04","melodic hardcore,punk,hardcore,pop punk,hardcore punk,seen live,punk rock,emo,new jersey,melodic punk"
Lifetime,Jersey's Best Dancers,Turnpike Gates,"24 Apr 2019, 20:01","melodic hardcore,punk,hardcore,pop punk,hardcore punk,seen live,punk rock,emo,new jersey,melodic punk"
Rites of Spring,Rites of Spring,For Want Of,"24 Apr 2019, 19:51","emo,post-hardcore,hardcore,punk,emocore,hardcore punk,dischord,punk rock,80s,indie"
"Now, Now",Saved,Yours,"24 Apr 2019, 19:01","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Enda,Enda,"24 Apr 2019, 18:57","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Sgl,"24 Apr 2019, 18:41","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Jai Wolf,The Cure to Loneliness,"Around The World (feat. Now, Now)","24 Apr 2019, 18:37","electronic,All,electropop,chill,USA,american,trap,electro-pop,chillstep,bangladeshi"
"Now, Now",Saved,MJ,"24 Apr 2019, 18:33","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Hozier,Hozier (Expanded Edition),Cherry Wine - Live,"24 Apr 2019, 18:30","blues,indie,soul,singer-songwriter,irish,seen live,indie rock,rock,alternative,folk"
blink-182,blink-182,I Miss You,"24 Apr 2019, 18:08","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Prince,The Very Best of Prince,I Wanna Be Your Lover - Single Version,"24 Apr 2019, 18:05","funk,pop,soul,80s,rock,seen live,prince,rnb,dance,classic rock"
Queen,Jazz (Deluxe Remastered Version),Fat Bottomed Girls - Remastered 2011,"24 Apr 2019, 18:01","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Say Anything,Is A Real Boy,A Walk Through Hell,"24 Apr 2019, 17:58","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,"Wow, I Can Get Sexual Too","24 Apr 2019, 17:55","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,Woe,"24 Apr 2019, 17:50","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,Is A Real Boy,The Futile,"24 Apr 2019, 17:47","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,I Don't Think It Is,Attaboy,"24 Apr 2019, 15:07","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,I Don't Think It Is,Princess,"24 Apr 2019, 14:57","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Say Anything,I Don't Think It Is,Princess,"24 Apr 2019, 14:55","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
(Sandy) Alex G,Rocket,Proud,"24 Apr 2019, 14:53","seen live,Lo-Fi,indie pop,indie rock,baroque pop,USA,indie folk,electronic,indie,pop"
(Sandy) Alex G,Trick,Sarah (Bonus Track),"24 Apr 2019, 02:28","seen live,Lo-Fi,indie pop,indie rock,baroque pop,USA,indie folk,electronic,indie,pop"
blink-182,blink-182,I Miss You,"23 Apr 2019, 20:01","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Queen,Jazz,Fat Bottomed Girls,"23 Apr 2019, 18:39","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Kississippi,"We Have No Future, We're All Doomed",GREYHOUND,"23 Apr 2019, 01:11","indie,Philadelphia,folk,indie pop,indie rock,USA,american,indie folk,female vocalist,us"
Pinegrove,Everything So Far,The Metronome,"23 Apr 2019, 01:08","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Glocca Morra,Just Married,me + geniene,"23 Apr 2019, 01:01","emo,punk,indie rock,rock,indie,Twinkle daddies,punk rock,midwest emo,seen live,post-hardcore"
Long Beard,Sleepwalker,Porch,"23 Apr 2019, 00:57","indie,folk,Lo-Fi,shoegaze,misc,beards,All,5432fun,beard,Bandcamp"
"football, etc.",The Draft,Safety,"23 Apr 2019, 00:51","emo,indie,indie rock,midwest emo,indiemo,indie emo,seen live,rock,count your lucky stars,texas"
Illuminati Hotties,Kiss Yr Frenemies,Shape of My Hands,"23 Apr 2019, 00:48","indie rock,Lo-Fi,los angeles"
"Now, Now",Saved,AZ,"23 Apr 2019, 00:44","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Sgl,"23 Apr 2019, 00:41","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Haley Heynderickx,Unpeeled (Live),Big Ol' Miyazaki Tears (Live),"22 Apr 2019, 00:46","folk,singer-songwriter,indie folk,seen live,indie,acoustic,alternative,female vocalists,female vocalist,portland"
Little Big League,These Are Good People.,Lindsey,"22 Apr 2019, 00:42","emo,shoegaze,indie rock,rock,punk,alternative rock,Philadelphia,female vocalists,USA,american"
"Now, Now",Saved,P0wder,"21 Apr 2019, 14:47","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Set It Free,"21 Apr 2019, 14:43","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Drive,"21 Apr 2019, 14:39","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Knowme,"21 Apr 2019, 14:36","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Saved,"21 Apr 2019, 14:33","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Yours,"21 Apr 2019, 14:29","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Holy Water,"21 Apr 2019, 14:24","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Window,"21 Apr 2019, 14:21","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,AZ,"21 Apr 2019, 14:17","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Can't Help Myself,"21 Apr 2019, 14:13","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,MJ,"21 Apr 2019, 14:08","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Sgl,"21 Apr 2019, 14:04","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Can't Help Myself,"21 Apr 2019, 14:00","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,AZ,"21 Apr 2019, 14:00","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Can't Help Myself,"21 Apr 2019, 13:56","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,MJ,"21 Apr 2019, 13:53","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
"Now, Now",Saved,Sgl,"21 Apr 2019, 13:49","indie,indie rock,female vocalists,indie pop,alternative,seen live,american,rock,pop,Minnesota"
Manfred Mann's Earth Band,The Roaring Silence,Blinded by the Light - Single Edit,"20 Apr 2019, 23:39","classic rock,Progressive rock,rock,70s,art rock,seen live,british,Progressive,60s,80s"
Jason Mraz,Waiting for My Rocket to Come,The Remedy (I Won't Worry),"20 Apr 2019, 23:34","singer-songwriter,acoustic,pop,alternative,rock,seen live,indie,Acoustic Rock,jason mraz,male vocalists"
Diddy - Dirty Money,Last Train to Paris (Deluxe),Coming Home,"20 Apr 2019, 23:30","Hip-Hop,rnb,rap,pop,hip hop,Electro-Hop,r&b,american,female vocalists,male vocalists"
Gloria Estefan,Let It Loose,Rhythm Is Gonna Get You,"20 Apr 2019, 23:26","latin,pop,female vocalists,80s,latin pop,gloria estefan,dance,salsa,spanish,cuban"
America,Hearts (US Internet Release),Sister Golden Hair,"20 Apr 2019, 23:22","classic rock,rock,70s,soft rock,folk,folk rock,american,pop,america,singer-songwriter"
Men Without Hats,Rhythm of Youth,The Safety Dance,"20 Apr 2019, 23:17","new wave,80s,synthpop,pop,Canadian,synth pop,rock,electronic,canada,classic rock"
Sonny & Cher,Look at Us,I Got You Babe,"20 Apr 2019, 23:14","60s,oldies,pop,rock,american,classic rock,duets,sonny and cher,70s,folk-rock"
Less Than Jake,Anthem,The Science of Selling Yourself Short,"20 Apr 2019, 20:22","ska,seen live,ska punk,punk,punk rock,rock,ska-punk,pop punk,alternative,american"
The Beatles,Yellow Submarine (Remastered),Yellow Submarine - Remastered 2009,"20 Apr 2019, 20:19","classic rock,rock,british,60s,pop,psychedelic,The Beatles,oldies,Psychedelic Rock,beatles"
