artist,album,song,listen_date,genre
Coheed and Cambria,The Afterman: Descension,2's My Favorite 1,"14 Oct 2017, 17:55","Progressive rock,seen live,rock,alternative,emo,indie,alternative rock,Progressive,metal,punk"
Nelly Furtado,"Whoa, Nelly! (Special Edition)",I'm Like a Bird,"14 Oct 2017, 16:54","pop,female vocalists,Canadian,folk,singer-songwriter,rnb,Nelly Furtado,alternative,seen live,dance"
Natasha Bedingfield,Unwritten,Unwritten,"14 Oct 2017, 15:56","pop,female vocalists,british,singer-songwriter,female,Natasha Bedingfield,dance,alternative,rock,female vocalist"
JoJo,"Too Little, Too Late","Too Little, Too Late - Radio Version","14 Oct 2017, 15:52","pop,female vocalists,rnb,JoJo,soul,r&b,american,female,Hip-Hop,teen pop"
Ashlee Simpson,Autobiography,Pieces of Me,"14 Oct 2017, 15:49","pop,female vocalists,pop rock,rock,Ashlee Simpson,dance,american,female,Officially Shit,electronic"
Lindsay Lohan,Speak,Rumors,"14 Oct 2017, 15:45","pop,female vocalists,pop rock,dance,rock,Lindsay Lohan,american,teen pop,Officially Shit,female"
Christina Aguilera,Christina Aguilera,Genie in a Bottle,"14 Oct 2017, 15:42","pop,female vocalists,soul,rnb,dance,Christina Aguilera,female,american,legend,rock"
Mandy Moore,So Real,Candy,"14 Oct 2017, 15:38","pop,female vocalists,Mandy Moore,rock,female,american,dance,teen pop,pop rock,folk"
Vitamin C,Vitamin C,Graduation (Friends Forever),"14 Oct 2017, 15:32","pop,female vocalists,rock,dance,alternative,electronic,90s,pop rock,american,female"
Michelle Branch,Hotel Paper (U.S. Version-Enh'd),Are You Happy Now?,"14 Oct 2017, 15:28","pop,female vocalists,singer-songwriter,rock,pop rock,alternative,female,michelle branch,acoustic,female vocalist"
Stacie Orrico,Stacie Orrico,Stuck,"14 Oct 2017, 15:25","pop,female vocalists,rnb,christian,female,american,stacie orrico,female vocalist,00s,soul"
Michelle Branch,The Spirit Room (U.S. Version),All You Wanted,"14 Oct 2017, 15:21","pop,female vocalists,singer-songwriter,rock,pop rock,alternative,female,michelle branch,acoustic,female vocalist"
Michelle Branch,The Spirit Room (U.S. Version),Everywhere,"14 Oct 2017, 15:17","pop,female vocalists,singer-songwriter,rock,pop rock,alternative,female,michelle branch,acoustic,female vocalist"
Britney Spears,Blackout,Break the Ice,"14 Oct 2017, 15:14","pop,dance,female vocalists,Britney Spears,legend,american,seen live,sexy,female,90s"
Dream,It Was All a Dream,He Loves You Not,"14 Oct 2017, 15:10","j-pop,japanese,pop,JPop,female vocalists,anime,dubstep,dance,girl group,Dream"
Hoku,Hoku,Another Dumb Blonde,"14 Oct 2017, 15:06","pop,female vocalists,american,teen pop,female,guilty pleasure,female vocalist,Hawaiian,hoku,bubblegum"
The Corrs,In Blue,Breathless,"14 Oct 2017, 14:49","pop,irish,female vocalists,folk,celtic,rock,alternative,the corrs,pop rock,folk rock"
Hoku,Hoku,How Do I Feel,"14 Oct 2017, 14:46","pop,female vocalists,american,teen pop,female,guilty pleasure,female vocalist,Hawaiian,hoku,bubblegum"
Christina Aguilera,Christina Aguilera,Come On Over Baby (All I Want Is You) - Radio Version,"14 Oct 2017, 14:42","pop,female vocalists,soul,rnb,dance,Christina Aguilera,female,american,legend,rock"
3LW,3LW,No More (Baby I'ma Do Right),"14 Oct 2017, 14:38","rnb,pop,female vocalists,soul,r and b,r&b,Girl Groups,american,3LW,urban"
Britney Spears,Oops!... I Did It Again,Lucky,"14 Oct 2017, 14:34","pop,dance,female vocalists,Britney Spears,legend,american,seen live,sexy,female,90s"
Kelly Clarkson,Breakaway,Breakaway,"14 Oct 2017, 14:30","pop,female vocalists,pop rock,rock,Kelly Clarkson,American Idol,female,alternative,american,seen live"
BBMak,Sooner Or Later,Back Here,"14 Oct 2017, 14:26","pop,boybands,british,rock,britpop,seen live,bbmak,pop rock,acoustic,dance"
Christina Aguilera,Christina Aguilera,What a Girl Wants,"14 Oct 2017, 14:22","pop,female vocalists,soul,rnb,dance,Christina Aguilera,female,american,legend,rock"
Aaron Carter,Come Get It: The Very Best of Aaron Carter,That's How I Beat Shaq,"14 Oct 2017, 13:56","pop,aaron carter,male vocalists,dance,90s,seen live,Brutal Death Metal,the illest motherfucker on the streets,teen pop,Officially Shit"
Aaron Carter,Come Get It: The Very Best of Aaron Carter,I Want Candy,"14 Oct 2017, 13:53","pop,aaron carter,male vocalists,dance,90s,seen live,Brutal Death Metal,the illest motherfucker on the streets,teen pop,Officially Shit"
98å¼,98å¼ And Rising,I Do (Cherish You),"14 Oct 2017, 13:49","pop,boyband,90s,98 Degrees,christmas,american,listen,luis miguel,r and b,teen pop"
Jump5,Jump5,Spinnin' Around,"14 Oct 2017, 13:45","christian,pop,Disney,teen pop,Jump5,christian pop,dance,contemporary christian,female vocalists,american"
O-Town,Totally Hits 2001,All or Nothing,"14 Oct 2017, 13:41","pop,boybands,seen live,90s,rock,boy band,american,boy bands,alternative,pop rock"
Hoku,Perfect Day,Perfect Day,"14 Oct 2017, 13:38","pop,female vocalists,american,teen pop,female,guilty pleasure,female vocalist,Hawaiian,hoku,bubblegum"
S Club 7,"""7""",Never Had A Dream Come True,"14 Oct 2017, 13:34","pop,british,dance,90s,female vocalists,britpop,teen pop,S Club 7,brit pop,bubblegum"
Tigerweather,Lani,Sunshine,"14 Oct 2017, 13:08","indie,pop,relevant magazine,indie pop,under 2000 listeners,hollister"
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Rockstar,"14 Oct 2017, 12:57","indie,indie pop,pop,piano,american,a great big world,indie rock,piano rock,male vocalists,Christina Aguilera"
The Hold Steady,Heaven Is Whenever,The Weekenders,"13 Oct 2017, 22:06","seen live,indie rock,rock,indie,alternative,alternative rock,new york,post-punk,american,Minnesota"
Darwin Deez,Songs for Imaginative People,Chelsea's Hotel,"13 Oct 2017, 22:01","indie,indie pop,seen live,electronic,experimental,pop,american,alternative,indie rock,USA"
YÌ÷uth,Breathing Easy,Breathing Easy,"13 Oct 2017, 21:57","indie,rock,alternative"
Hodera,North Dakota,North Dakota,"13 Oct 2017, 21:53","alternative,seen live,indie,indie rock,folk rock"
Fenech-Soler,Rituals (Special Edition),Last Forever,"13 Oct 2017, 21:48","electronic,indie,electro,british,dance,seen live,electropop,england,synthpop,indie pop"
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Rockstar,"13 Oct 2017, 21:43","indie,indie pop,pop,piano,american,a great big world,indie rock,piano rock,male vocalists,Christina Aguilera"
Kishi Bashi,Lighght,The Ballad of Mr. Steak,"13 Oct 2017, 21:39","indie,folk,pop,seen live,indie pop,world,chamber pop,experimental,acoustic,american"
Coheed and Cambria,The Afterman: Descension,2's My Favorite 1,"13 Oct 2017, 21:35","Progressive rock,seen live,rock,alternative,emo,indie,alternative rock,Progressive,metal,punk"
The Band CAMINO,Heaven,Who Says We're Through,"13 Oct 2017, 21:31","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,My Thoughts on You,14-Feb,"13 Oct 2017, 21:28","indie,alternative,indie rock,electronic,pop,indie pop"
Sam Hunt,Montevallo,Leave the Night On,"13 Oct 2017, 20:37","country,pop,farting,racist,fart,Flatulence,coprophagia,KKK Country,racist country,singer-songwriter"
Macklemore & Ryan Lewis,The Heist,Same Love (feat. Mary Lambert),"13 Oct 2017, 20:32","Hip-Hop,rap,seen live,underground hip-hop,underground rap,seattle,hip hop,american,pop,male vocalists"
Maroon 5,Hands All Over (Deluxe),Misery,"13 Oct 2017, 20:26","rock,pop,pop rock,alternative,alternative rock,seen live,maroon 5,indie,american,male vocalists"
Jessica Simpson,In This Skin (Standard Package),With You,"13 Oct 2017, 20:23","pop,female vocalists,dance,Jessica Simpson,female,country,Officially Shit,rnb,american,teen pop"
A Loss for Words,No Sanctuary,Wrightsville Beach,"13 Oct 2017, 17:50","pop punk,post-hardcore,seen live,hardcore,melodic hardcore,screamo,emocore,Pop-punk,rock,Easycore"
YÌ÷uth,Breathing Easy,Breathing Easy,"13 Oct 2017, 17:47","indie,rock,alternative"
The Lonely Biscuits,Ma'am,Ma'am,"13 Oct 2017, 17:43","hip hop,chill,soul,rap,funk,indie,college"
The Lonely Biscuits,Ma'am,Ma'am,"13 Oct 2017, 17:40","hip hop,chill,soul,rap,funk,indie,college"
Whitley,The Submarine,More Than Life,"13 Oct 2017, 17:37","australian,singer-songwriter,folk,acoustic,seen live,owl on shoulder,indie,pop,folktronica,chill"
Fenech-Soler,Rituals (Special Edition),Last Forever,"13 Oct 2017, 15:39","electronic,indie,electro,british,dance,seen live,electropop,england,synthpop,indie pop"
Set Sail,Hey!,Charleston,"13 Oct 2017, 15:37","hardcore,melodic hardcore,hardcore punk,punk,seen live,indie,Good band,spotify,indie pop,punk rock"
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Rockstar,"13 Oct 2017, 15:33","indie,indie pop,pop,piano,american,a great big world,indie rock,piano rock,male vocalists,Christina Aguilera"
The Mowgli's,Waiting For The Dawn,Clean Light,"13 Oct 2017, 15:28","indie,folk,rock,alternative,seen live,indie rock,american,indie folk,indie pop,twinkling tones"
Reptar,Oblangle Fizz Y'all,Phonetics,"13 Oct 2017, 12:26","electronic,indie,indie pop,seen live,athens,indie rock,american,electronica,electropop,dance"
NGHBRS,Twenty One Rooms,Hold Up Girl,"13 Oct 2017, 12:23","alternative,rock,indie,alternative rock,jazz,ambient,indie rock,blues,pop punk,under 2000 listeners"
Vance Joy,Dream Your Life Away,First Time,"13 Oct 2017, 12:19","folk,indie,singer-songwriter,australian,acoustic,seen live,indie folk,male vocalists,alternative,pop"
*NSYNC,No Strings Attached,It's Gonna Be Me,"12 Oct 2017, 22:33","pop,boybands,90s,dance,seen live,boy band,american,teen pop,nsync,male vocalists"
Elvis Presley,Blue Hawaii,Can't Help Falling in Love,"12 Oct 2017, 22:30","rock n roll,classic rock,rock,oldies,Rock and Roll,rockabilly,50s,60s,pop,american"
Maroon 5,Songs About Jane,Sunday Morning,"12 Oct 2017, 22:26","rock,pop,pop rock,alternative,alternative rock,seen live,maroon 5,indie,american,male vocalists"
The Front Bottoms,Back On Top,Laugh Till I Cry,"12 Oct 2017, 22:24","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
The Front Bottoms,Raining,Raining,"12 Oct 2017, 22:21","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
Avicii,Levels,Levels,"12 Oct 2017, 21:27","House,electronic,dance,Progressive House,electro house,swedish,seen live,electronica,EDM,club"
B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Explicit),Magic (feat. Rivers Cuomo),"12 Oct 2017, 21:24","Hip-Hop,rap,hip hop,Dirty South,atlanta,seen live,american,pop,male vocalists,alternative hip-hop"
blink-182,Blink-182 (Explicit Version) [Explicit Version],Feeling This,"12 Oct 2017, 21:21","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Grouplove,Spreading Rumours,Schoolboy,"12 Oct 2017, 21:17","indie,indie rock,indie pop,alternative,rock,seen live,american,alternative rock,pop,male vocalists"
The Strokes,Room on Fire,Reptilia,"12 Oct 2017, 21:13","indie rock,rock,indie,alternative,alternative rock,seen live,Garage Rock,The Strokes,american,new york"
blink-182,California,She's Out Of Her Mind,"12 Oct 2017, 21:11","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Hot Chelle Rae,Whatever,Tonight Tonight,"12 Oct 2017, 21:06","rock,pop,alternative,electronic,dance,powerpop,pop rock,male vocalists,seen live,american"
Weezer,Feels Like Summer,Feels Like Summer,"12 Oct 2017, 21:03","rock,alternative,alternative rock,indie,indie rock,seen live,emo,power pop,punk,90s"
Walk the Moon,Shut Up and Dance,Shut Up and Dance,"12 Oct 2017, 21:00","indie rock,indie,indie pop,american,seen live,alternative,rock,pop,alternative rock,male vocalists"
Ke$ha,Rainbow,Let 'Em Talk,"12 Oct 2017, 20:57","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
The Band CAMINO,My Thoughts on You,Young,"12 Oct 2017, 19:44","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,Heaven,What I Want,"12 Oct 2017, 19:41","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,Heaven,California,"12 Oct 2017, 19:36","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,I Spend Too Much Time in My Room,I Spend Too Much Time in My Room,"12 Oct 2017, 19:32","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,My Thoughts on You,The Black and White,"12 Oct 2017, 19:27","indie,alternative,indie rock,electronic,pop,indie pop"
The Band CAMINO,My Thoughts on You,14-Feb,"12 Oct 2017, 19:24","indie,alternative,indie rock,electronic,pop,indie pop"
Vance Joy,Dream Your Life Away,First Time,"12 Oct 2017, 19:02","folk,indie,singer-songwriter,australian,acoustic,seen live,indie folk,male vocalists,alternative,pop"
The Band CAMINO,My Thoughts on You,14-Feb,"12 Oct 2017, 18:59","indie,alternative,indie rock,electronic,pop,indie pop"
Coheed and Cambria,The Afterman: Descension,2's My Favorite 1,"12 Oct 2017, 18:53","Progressive rock,seen live,rock,alternative,emo,indie,alternative rock,Progressive,metal,punk"
The Paper Kites,Woodland - EP,Woodland,"12 Oct 2017, 18:49","folk,indie,australian,indie folk,acoustic,seen live,melbourne,All,female vocalists,dream pop"
Hospitality,Hospitality,Friends Of Friends,"12 Oct 2017, 18:44","indie pop,indie,seen live,indie rock,twee,female vocalists,american,new york,Brooklyn,rock"
TLC,CrazySexyCool,Waterfalls,"12 Oct 2017, 17:52","rnb,Hip-Hop,female vocalists,pop,soul,90s,hip hop,r&b,tlc,american"
98å¼,98å¼ And Rising,I Do (Cherish You),"12 Oct 2017, 17:38","pop,boyband,90s,98 Degrees,christmas,american,listen,luis miguel,r and b,teen pop"
BBMak,Sooner Or Later,Back Here,"12 Oct 2017, 17:33","pop,boybands,british,rock,britpop,seen live,bbmak,pop rock,acoustic,dance"
Ashlee Simpson,Autobiography,Pieces of Me,"12 Oct 2017, 17:30","pop,female vocalists,pop rock,rock,Ashlee Simpson,dance,american,female,Officially Shit,electronic"
The Corrs,In Blue,Breathless,"12 Oct 2017, 17:26","pop,irish,female vocalists,folk,celtic,rock,alternative,the corrs,pop rock,folk rock"
Avril Lavigne,Let Go,Sk8er Boi,"11 Oct 2017, 23:59","pop,pop rock,rock,female vocalists,Canadian,punk,pop punk,alternative,avril lavigne,seen live"
Jessica Simpson,Sweet Kisses,I Think I'm in Love with You,"11 Oct 2017, 23:55","pop,female vocalists,dance,Jessica Simpson,female,country,Officially Shit,rnb,american,teen pop"
Jesse McCartney,Beautiful Soul,Beautiful Soul,"11 Oct 2017, 23:52","pop,Jesse McCartney,pop rock,male vocalists,american,teen pop,rnb,rock,male,Disney"
Natasha Bedingfield,Unwritten,Unwritten,"11 Oct 2017, 23:47","pop,female vocalists,british,singer-songwriter,female,Natasha Bedingfield,dance,alternative,rock,female vocalist"
*NSYNC,No Strings Attached,It's Gonna Be Me,"11 Oct 2017, 23:44","pop,boybands,90s,dance,seen live,boy band,american,teen pop,nsync,male vocalists"
Nelly Furtado,"Whoa, Nelly! (Special Edition)",I'm Like a Bird,"11 Oct 2017, 23:40","pop,female vocalists,Canadian,folk,singer-songwriter,rnb,Nelly Furtado,alternative,seen live,dance"
Ashlee Simpson,Autobiography,Pieces of Me,"11 Oct 2017, 23:34","pop,female vocalists,pop rock,rock,Ashlee Simpson,dance,american,female,Officially Shit,electronic"
Lindsay Lohan,Speak,Over,"11 Oct 2017, 21:27","pop,female vocalists,pop rock,dance,rock,Lindsay Lohan,american,teen pop,Officially Shit,female"
Lindsay Lohan,Confessions of a Teenage Drama Queen,Drama Queen (That Girl) - Original Version,"11 Oct 2017, 21:24","pop,female vocalists,pop rock,dance,rock,Lindsay Lohan,american,teen pop,Officially Shit,female"
Lindsay Lohan,Freaky Friday (Score),Ultimate,"11 Oct 2017, 21:21","pop,female vocalists,pop rock,dance,rock,Lindsay Lohan,american,teen pop,Officially Shit,female"
Lindsay Lohan,Speak,Rumors,"11 Oct 2017, 21:17","pop,female vocalists,pop rock,dance,rock,Lindsay Lohan,american,teen pop,Officially Shit,female"
Hilary Duff,Breathe In. Breathe Out.,My Kind,"11 Oct 2017, 21:13","pop,female vocalists,dance,hilary duff,rock,pop rock,american,teen pop,Disney,female vocalist"
Hilary Duff,Metamorphosis,So Yesterday,"11 Oct 2017, 21:06","pop,female vocalists,dance,hilary duff,rock,pop rock,american,teen pop,Disney,female vocalist"
Hilary Duff,Metamorphosis,Come Clean,"11 Oct 2017, 21:03","pop,female vocalists,dance,hilary duff,rock,pop rock,american,teen pop,Disney,female vocalist"
Stacie Orrico,Stacie Orrico,Stuck,"11 Oct 2017, 20:58","pop,female vocalists,rnb,christian,female,american,stacie orrico,female vocalist,00s,soul"
The Decemberists,"What a Terrible World, What a Beautiful World",The Singer Addresses His Audience,"11 Oct 2017, 20:29","indie,indie rock,folk,seen live,alternative,indie pop,rock,indie folk,folk rock,favorites"
sports.,Demon Daze,I Am The Boy,"11 Oct 2017, 20:18","emo,indie,twinkly,punk,pop punk,indie rock,Midwest,midwest emo,Twinkle daddies,sad white boys"
Coldplay,A Rush of Blood to the Head,The Scientist,"11 Oct 2017, 20:13","rock,alternative,britpop,alternative rock,indie,british,seen live,Coldplay,pop,indie rock"
Ray LaMontagne,Gossip In The Grain,You Are the Best Thing,"11 Oct 2017, 14:15","folk,singer-songwriter,acoustic,indie,Acoustic Rock,seen live,american,chill,Mellow,male vocalists"
Blitzen Trapper,Furr,Furr,"11 Oct 2017, 14:11","seen live,indie,Alt-country,folk rock,indie rock,folk,a campire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away,rock,american,portland"
The Apples in Stereo,New Magnetic Wonder,7 Stars,"11 Oct 2017, 14:07","indie,indie pop,Elephant 6,indie rock,Lo-Fi,seen live,pop,rock,alternative,psychedelic"
King Charles,LoveBlood,LoveBlood,"11 Oct 2017, 14:04","seen live,indie,british,folk,singer-songwriter,Great Hair,indie pop,pop,london,indie folk"
All Get Out,The Season,Lucky Bastard,"11 Oct 2017, 13:46","indie rock,indie,seen live,rock,folk,alternative rock,post-hardcore,south carolina,sounds so sincere I could die,alternative"
Death Cab for Cutie,Plans,Marching Bands of Manhattan,"11 Oct 2017, 13:41","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Fall Out Boy,Folie ÌÊ deux,America's Suitehearts,"11 Oct 2017, 13:38","pop punk,rock,emo,alternative,punk,seen live,punk rock,alternative rock,indie,Fall Out Boy"
The Hotelier,"Home, Like Noplace Is There",Your Deep Rest,"11 Oct 2017, 13:35","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
Spoon,Ga Ga Ga Ga Ga,You Got Yr. Cherry Bomb,"11 Oct 2017, 13:31","indie,indie rock,seen live,alternative,rock,indie pop,alternative rock,american,austin,spoon"
Foxing,The Albatross,Inuit,"11 Oct 2017, 13:27","emo,math rock,post-rock,indie,midwest emo,seen live,indie rock,post-hardcore,rock,chamber pop"
The Postal Service,Give Up,The District Sleeps Alone Tonight,"11 Oct 2017, 13:12","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
Weatherbox,Flies in All Directions,Bring Us the Head of Weatherbox,"11 Oct 2017, 13:06","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
Dream,It Was All a Dream,He Loves You Not,"11 Oct 2017, 02:30","j-pop,japanese,pop,JPop,female vocalists,anime,dubstep,dance,girl group,Dream"
Say Anything,...Is a Real Boy,"Wow, I Can Get Sexual Too","10 Oct 2017, 20:30","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Young Rising Sons,Young Rising Sons,Turnin',"10 Oct 2017, 20:27","indie pop,indie,electropop,alternative,seen live,USA,american"
Ke$ha,Rainbow,Boots,"10 Oct 2017, 20:23","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
The Hotelier,Goodness,End of Reel,"10 Oct 2017, 20:16","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
Sorority Noise,"Joy, Departed",Using,"10 Oct 2017, 20:11","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Wheatus,Hand Over Your Loved Ones,Lemonade,"10 Oct 2017, 20:07","rock,alternative,alternative rock,pop,indie,seen live,punk rock,pop rock,punk,pop punk"
Bon Iver,"For Emma, Forever Ago",Skinny Love,"10 Oct 2017, 20:04","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Black Eyed Peas,Monkey Business/Elephunk,Where Is the Love,"09 Oct 2017, 22:54","Hip-Hop,pop,rnb,rap,hip hop,dance,seen live,black eyed peas,funk,american"
The Weakerthans,Reconstruction Site,One Great City!,"09 Oct 2017, 22:51","seen live,indie,Canadian,indie rock,rock,alternative,emo,folk,indie pop,punk"
blink-182,Neighborhoods (Deluxe Explicit Version),Ghost on the Dance Floor,"09 Oct 2017, 22:47","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
MisterWives,Our Own House,Reflections,"09 Oct 2017, 22:44","indie,pop,indie pop,alternative,seen live,soul,american,alternative dance,folk,new york"
Hop Along,Painted Shut,Powerful Man,"09 Oct 2017, 22:40","indie,seen live,folk,indie rock,female vocalists,emo,american,indie folk,folk punk,freak folk"
The New Pornographers,Together,Moves,"09 Oct 2017, 22:37","indie,indie rock,seen live,Canadian,indie pop,alternative,power pop,rock,pop,canada"
Cults,Cults,Go Outside,"09 Oct 2017, 22:33","indie pop,Lo-Fi,experimental,seen live,noise,psychadelic,indie,dream pop,pop,psychedelic"
Kid Astray,Taking You with Me EP,No Easy Way Out,"09 Oct 2017, 22:30","indie,indie pop,norwegian,pop,Norway,female vocalists,seen live,electropop,rock,Norge"
Death Cab for Cutie,Narrow Stairs,Grapevine Fires,"09 Oct 2017, 15:17","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Relient K,Forget and Not Slow Down,Candlelight,"09 Oct 2017, 15:13","rock,pop punk,christian rock,christian,punk,seen live,alternative,emo,punk rock,alternative rock"
Ed Sheeran,+,Gold Rush - Deluxe Edition,"09 Oct 2017, 15:09","acoustic,british,singer-songwriter,easy-listening,Grime,pop,seen live,male vocalists,indie,folk"
Hunter Hunted,Ready For You,Keep Together,"09 Oct 2017, 15:06","indie,indie rock,indie pop,anthem indie,electropop,USA,los angeles,United States,seen live,Love"
The Royal Concept,D-D-Dance,D-D-Dance,"09 Oct 2017, 15:02","indie pop,indie,indie rock,swedish,alternative,seen live,rock,pop,electronic,alternative rock"
The Front Bottoms,Talon of the Hawk,The Feud,"09 Oct 2017, 14:57","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
Weatherbox,American Art,Trippin' the Life Fantastic,"09 Oct 2017, 14:51","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
Petite League,No Hitter,Raspberry Seeds,"09 Oct 2017, 04:01","indie,indie pop,size and weight"
Tallhart,Bloodlines,Drunk Kids,"09 Oct 2017, 03:57","indie rock,rock,florida,Southern Rock,indie,alternative,blues,blues rock,seen live,alternative rock"
Lo Stato Sociale,Amarsi Male,Amarsi Male,"09 Oct 2017, 03:43","indie,italian,electropop,seen live,electronic,pop,indie pop,alternative,indie rock,Electro Pop"
Oasis,(What's the Story) Morning Glory?,Wonderwall,"09 Oct 2017, 03:38","britpop,rock,british,alternative,indie,seen live,alternative rock,indie rock,90s,oasis"
Japandroids,Celebration Rock,The House That Heaven Built,"09 Oct 2017, 03:33","noise rock,seen live,Garage Rock,indie,indie rock,Canadian,shoegaze,alternative rock,rock,alternative"
Great Good Fine OK,Not Going Home,Not Going Home,"09 Oct 2017, 03:30","electronic,synthpop,electropop,dream pop,seen live,electronica,indie,indie pop,Brooklyn,All"
Dresses,Sun Shy,Sun Shy,"09 Oct 2017, 03:26","indie,indie pop,alternative,to listen,seen live,female vocalists,under 2000 listeners,pop,singer-songwriter,electro"
Red Hot Chili Peppers,Mother's Milk,Higher Ground - 2003 - Remaster,"09 Oct 2017, 03:23","rock,alternative rock,alternative,Funk Rock,funk,seen live,Red Hot Chili Peppers,punk,american,indie"
The Format,Interventions and Lullabies,On Your Porch,"09 Oct 2017, 03:18","indie,seen live,indie pop,alternative,indie rock,rock,emo,pop,The Format,favorites"
A Great Big Pile Of Leaves,You're Always On My Mind,Snack Attack,"09 Oct 2017, 03:14","indie rock,seen live,indie,experimental,math rock,rock,Progressive,alternative,emo,alternative rock"
Modern Baseball,You're Gonna Miss It All,Apartment,"09 Oct 2017, 03:12","emo,pop punk,indie,punk,seen live,indie rock,Pop-punk,Philadelphia,punk rock,USA"
Coldplay,Viva La Vida - Prospekt's March Edition,Glass of Water,"09 Oct 2017, 03:07","rock,alternative,britpop,alternative rock,indie,british,seen live,Coldplay,pop,indie rock"
The 1975,The 1975,The City,"09 Oct 2017, 03:03","indie,indie rock,british,seen live,alternative,Manchester,rock,alternative rock,indie pop,pop"
Sorority Noise,Forgettable,Smooth Jazz,"08 Oct 2017, 16:13","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,"Blonde Hair, Black Lungs","08 Oct 2017, 16:10","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,Still Shrill,"08 Oct 2017, 16:08","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,Queen Anne's Lace,"08 Oct 2017, 16:07","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,Nick Kwas Christmas Party,"08 Oct 2017, 16:05","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,Dirty Ickes,"08 Oct 2017, 16:03","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Sorority Noise,Forgettable,Mediocre at Best,"08 Oct 2017, 16:00","emo,indie rock,punk,indie,seen live,rock,connecticut,alternative rock,Dope,sad"
Great Grandpa,Plastic Cough,Fade,"08 Oct 2017, 15:55","indie,indie rock,rock,Grunge,female vocalists,noise,pop,alternative,USA,acoustic"
Great Grandpa,Plastic Cough,Teen Challenge,"08 Oct 2017, 15:51","indie,indie rock,rock,Grunge,female vocalists,noise,pop,alternative,USA,acoustic"
Timeflies,Are We There Yet,Are We There Yet,"08 Oct 2017, 15:47","Hip-Hop,pop,electro-pop,rap,american,electronic,dance,seen live,hip hop,new york"
Wheatus,Hand Over Your Loved Ones,Lemonade,"08 Oct 2017, 15:43","rock,alternative,alternative rock,pop,indie,seen live,punk rock,pop rock,punk,pop punk"
Olly Murs,Right Place Right Time (Deluxe),Dance with Me Tonight,"08 Oct 2017, 15:28","pop,british,male vocalists,X factor,indie,seen live,olly murs,indie pop,alternative,UK"
Neon Trees,Everybody Talks,Everybody Talks,"08 Oct 2017, 15:25","indie,indie rock,alternative,alternative rock,pop,seen live,rock,american,pop rock,new wave"
Glee Cast,Glee: The Music Presents The Warblers,Teenage Dream,"08 Oct 2017, 15:21","musical,Soundtrack,glee,cover,Glee Cast,pop,american,female vocalists,male vocalists,rock"
Hozier,Hozier,Take Me to Church,"08 Oct 2017, 15:14","blues,indie,soul,singer-songwriter,irish,seen live,indie rock,rock,alternative,folk"
